date,location_code,measure,value
2022-09-18,UK043,smoothed_values,379.9075465516315
2022-09-18,UK048,smoothed_values,379.9075465516315
2022-09-24,UK050,smoothed_values,380.07400059985247
2022-10-06,UK049,smoothed_values,380.4539504399889
2016-12-03,UK049,upper_ci_values,1974.31731056548
2016-12-18,UK043,upper_ci_values,1941.2029450973284
2017-01-14,UK050,upper_ci_values,1884.760411171256
2017-01-15,UK020,upper_ci_values,1882.7506413308108
2017-01-20,UK048,upper_ci_values,1872.790496045632
2017-04-02,UK043,upper_ci_values,1746.7746863328557
2017-04-03,UK048,upper_ci_values,1745.26637186776
2017-04-08,UK050,upper_ci_values,1737.8285419032795
2017-04-09,UK020,upper_ci_values,1736.3617753469446
2017-06-10,UK049,upper_ci_values,1658.9962982203974
2017-06-12,UK048,upper_ci_values,1656.934952879408
2017-06-18,UK043,upper_ci_values,1650.9058066452576
2017-07-08,UK050,upper_ci_values,1632.4651294733223
2017-07-09,UK020,upper_ci_values,1631.60868030963
2017-09-16,UK049,upper_ci_values,1585.7531647060273
2017-09-16,UK020,upper_ci_values,1585.7531647060273
2017-09-16,UK050,upper_ci_values,1585.7531647060273
2017-09-17,UK043,upper_ci_values,1585.2516553687165
2017-10-13,UK048,upper_ci_values,1573.3864110354334
2017-12-16,UK050,upper_ci_values,1550.1507598844596
2017-12-17,UK043,upper_ci_values,1549.8176765127546
2018-01-14,UK020,upper_ci_values,1540.4814685712734
2018-01-15,UK048,upper_ci_values,1540.1418354726816
2018-02-24,UK049,upper_ci_values,1522.5229792823686
2018-04-13,UK048,upper_ci_values,1493.0426522145876
2018-04-14,UK050,upper_ci_values,1492.356498005542
2018-04-15,UK020,upper_ci_values,1491.6678991689969
2018-04-21,UK049,upper_ci_values,1487.4863500361278
2018-04-22,UK043,upper_ci_values,1486.78132130276
2018-06-03,UK049,upper_ci_values,1455.3646026373715
2018-06-17,UK043,upper_ci_values,1444.2194864085016
2018-06-22,UK048,upper_ci_values,1440.1695656209977
2018-06-26,UK020,upper_ci_values,1436.9050188201363
2018-06-30,UK050,upper_ci_values,1433.5237188644455
2018-09-15,UK050,upper_ci_values,1338.5143297245254
2018-09-15,UK020,upper_ci_values,1338.5143297245254
2018-09-15,UK049,upper_ci_values,1338.5143297245254
2018-09-15,UK043,upper_ci_values,1338.5143297245254
2018-12-16,UK043,upper_ci_values,1210.8330917010123
2019-01-13,UK020,upper_ci_values,1178.0737712205064
2019-01-26,UK049,upper_ci_values,1163.80932842347
2019-02-15,UK048,upper_ci_values,1142.6797675133184
2019-04-07,UK020,upper_ci_values,1090.1815338030326
2019-04-13,UK049,upper_ci_values,1083.7615491418896
2019-04-15,UK048,upper_ci_values,1081.5530099362445
2019-04-20,UK050,upper_ci_values,1075.902361200452
2019-06-22,UK049,upper_ci_values,1001.5924829286082
2019-07-06,UK050,upper_ci_values,987.1564523998428
2019-07-07,UK043,upper_ci_values,986.1755103163892
2019-07-14,UK020,upper_ci_values,979.4986777848308
2019-09-18,UK048,upper_ci_values,929.1973815727496
2019-09-20,UK043,upper_ci_values,927.868244866836
2019-09-21,UK020,upper_ci_values,927.2045318449595
2019-09-21,UK050,upper_ci_values,927.2045318449595
2019-09-21,UK049,upper_ci_values,927.2045318449595
2019-12-14,UK049,upper_ci_values,877.8552639707285
2019-12-15,UK043,upper_ci_values,877.3518203103342
2020-01-05,UK020,upper_ci_values,867.303999122863
2020-01-25,UK050,upper_ci_values,858.7197029401071
2020-02-25,UK048,upper_ci_values,847.4843071306916
2020-09-19,UK020,upper_ci_values,840.8818479097663
2020-09-20,UK050,upper_ci_values,841.0735384150034
2020-09-20,UK043,upper_ci_values,841.0735384150034
2020-12-11,UK049,upper_ci_values,857.6672290306468
2021-06-28,UK049,upper_ci_values,836.7861141630939
2021-07-11,UK020,upper_ci_values,830.0372701464858
2021-09-18,UK050,upper_ci_values,797.1398326419136
2021-09-18,UK020,upper_ci_values,797.1398326419136
2021-09-21,UK048,upper_ci_values,795.8621037991333
2021-09-23,UK049,upper_ci_values,795.0194542218715
2021-12-12,UK043,upper_ci_values,769.6148881949011
2022-01-07,UK049,upper_ci_values,766.3537044975214
2022-01-09,UK020,upper_ci_values,766.2404112692859
2022-04-02,UK050,upper_ci_values,784.2109066499528
2022-04-03,UK048,upper_ci_values,784.7450909968309
2022-04-03,UK043,upper_ci_values,784.7450909968309
2022-04-06,UK049,upper_ci_values,786.3996157430599
2022-04-10,UK020,upper_ci_values,788.7283693420218
2022-06-19,UK048,upper_ci_values,853.5114394104128
2022-07-08,UK049,upper_ci_values,879.0741056046841
2022-07-10,UK020,upper_ci_values,881.9583421288404
2022-09-17,UK020,upper_ci_values,1002.5312021174002
