year,variable,value
2001,Total (tonnes),1559.2497226851788
2002,Total (tonnes),1655.4943838234276
2003,Total (tonnes),1801.139563909786
2004,Total (tonnes),2006.048438942608
2005,Total (tonnes),2233.594884358852
2006,Total (tonnes),2416.62976852865
2007,Total (tonnes),2510.388755355384
2008,Total (tonnes),2514.804850677794
2009,Total (tonnes),2453.370181016296
2010,Total (tonnes),2352.4642027380314
2011,Total (tonnes),2237.106910236277
2012,Total (tonnes),2130.358004232644
2013,Total (tonnes),2046.2651032352856
2014,Total (tonnes),1986.841486133926
2015,Total (tonnes),1944.0528622749628
2016,Total (tonnes),1904.6999973372144
2017,Total (tonnes),1855.787369910376
2018,Total (tonnes),1787.900843399182
2019,Total (tonnes),1695.3099392136187
2020,Total (tonnes),1578.7396206064786
2021,Total (tonnes),1443.1268275967486
2022,Total (tonnes),1296.564683990301
2023,Total (tonnes),1144.6779886779443
2000,Incinerated (%),1.52934766535268
2001,Incinerated (%),1.5631691746366312
2002,Incinerated (%),1.6337142045243207
2003,Incinerated (%),2.6999949218134973
2004,Incinerated (%),5.054606968504782
2005,Incinerated (%),6.450720362964181
2006,Incinerated (%),9.2309992390986
2007,Incinerated (%),9.850816185204865
2008,Incinerated (%),11.676372140294502
2009,Incinerated (%),12.05051583006874
2010,Incinerated (%),13.806181028530505
2011,Incinerated (%),14.002534538920846
2012,Incinerated (%),15.870902880591569
2013,Incinerated (%),16.038821124198353
2014,Incinerated (%),18.13811254634324
2015,Incinerated (%),18.342465044260763
2016,Incinerated (%),20.556648904626364
2017,Incinerated (%),20.78878850859929
2018,Incinerated (%),23.004500151958887
2019,Incinerated (%),23.18652736310644
2020,Incinerated (%),25.311743580283963
2021,Incinerated (%),25.37182785088554
2022,Incinerated (%),28.065373306115188
2023,Incinerated (%),27.74094506300927
2000,Recycled (%),6.809586417897248
2001,Recycled (%),6.755830283066549
2002,Recycled (%),6.61604866135818
2003,Recycled (%),8.968622685773674
2004,Recycled (%),9.940668192666166
2005,Recycled (%),10.730259449798464
2006,Recycled (%),12.106042634151128
2007,Recycled (%),13.6699046476444
2008,Recycled (%),15.540707533705609
2009,Recycled (%),17.05449651721934
2010,Recycled (%),18.701076189009985
2011,Recycled (%),19.763342504320804
2012,Recycled (%),20.998481236223448
2013,Recycled (%),21.685984592958444
2014,Recycled (%),22.77540323368544
2015,Recycled (%),23.38228033153265
2016,Recycled (%),24.525647533111503
2017,Recycled (%),25.26622230503966
2018,Recycled (%),26.48465108848384
2019,Recycled (%),27.15791969136376
2020,Recycled (%),28.122958254012275
2021,Recycled (%),28.36539692447641
2022,Recycled (%),28.76971641566432
2023,Recycled (%),27.79581482292124
2000,Landfill (%),91.66106591675008
2001,Landfill (%),91.6810005422968
2002,Landfill (%),91.7502371341175
2003,Landfill (%),88.33138239241282
2004,Landfill (%),85.00472483882905
2005,Landfill (%),82.81902018723736
2006,Landfill (%),78.66295812675025
2007,Landfill (%),76.47927916715075
2008,Landfill (%),72.78292032599988
2009,Landfill (%),70.89498765271192
2010,Landfill (%),67.4927427824595
2011,Landfill (%),66.23412295675834
2012,Landfill (%),63.13061588318498
2013,Landfill (%),62.2751942828432
2014,Landfill (%),59.086484219971325
2015,Landfill (%),58.27525462420658
2016,Landfill (%),54.91770356226214
2017,Landfill (%),53.94498918636105
2018,Landfill (%),50.51084875955728
2019,Landfill (%),49.6555529455298
2020,Landfill (%),46.56529816570376
2021,Landfill (%),46.26277522463805
2022,Landfill (%),43.16491027822049
2023,Landfill (%),44.4632401140695
